rom,title,year,manufacturer
abc_mem,ABC Memory Card,,
abcbus_slot,ABCBUS slot,,
abcexp,ABC Expansion Unit,,
abclimax,After Burner Climax (Export),2006,Sega
abcop,A.B. Cop (World) (FD1094 317-0169b),1990,Sega
abcopd,A.B. Cop (World) (bootleg of FD1094 317-0169b set),1990,bootleg
abcopj,A.B. Cop (Japan) (FD1094 317-0169b),1990,Sega
abcopjd,A.B. Cop (Japan) (bootleg of FD1094 317-0169b set),1990,bootleg
abcsio,ABC SIO,,
abigchs,Big Cheese (Russia) (Atronic),2002,Atronic
abnudge,Animal Bonus Nudge (Version 2.1 Dual),2003,Amcoe
abnudgeb,"Animal Bonus Nudge (Version 2.0, set 1)",2003,Amcoe
abnudged,"Animal Bonus Nudge (Version 2.0, set 2)",2003,Amcoe
abnudgeo,Animal Bonus Nudge (Version 1.7),2003,Amcoe
abscam,Abscam,1981,GL (US Billiards license)
abunai,Abunai Houkago - Mou Matenai (Japan 890325),1989,Green Soft
aburner,After Burner,1987,Sega
aburner2,After Burner II,1987,Sega
aburner2g,After Burner II (German),1987,Sega
abv106,Airborne,1996,Capcom
abv106r,Airborne (Redemption),1996,Capcom
ac1,Amateurcomputer AC1 Berlin,1984,Frank Heyder
ac1_32,Amateurcomputer AC1 Berlin (32 lines),1984,Frank Heyder
ac1bbclb,Big Break Club (Ace) (ACESYS1) (set 1),199?,Ace
ac1bbclba,Big Break Club (Ace) (ACESYS1) (set 2),199?,Ace
ac1bluec,Blue Chip (Pcp) (ACESYS1) (set 1),199?,Pcp
ac1blueca,Blue Chip (Pcp) (ACESYS1) (set 2),199?,Pcp
ac1bluecb,Blue Chip (Pcp) (ACESYS1) (set 3),199?,Pcp
ac1bluecc,Blue Chip (Pcp) (ACESYS1) (set 4),199?,Pcp
ac1bluecd,Blue Chip (Pcp) (ACESYS1) (set 5),199?,Pcp
ac1clbmn,Club Money (Ace) (ACESYS1) (set 1),199?,Ace
ac1clbsv,Club Sovereign (Ace) (ACESYS1),199?,Ace
ac1clbxt,Club Xtra (Ace) (ACESYS1) (set 1),199?,Ace
ac1clbxta,Club Xtra (Ace) (ACESYS1) (set 2),199?,Ace
ac1cshtw,Cash Towers (Ace) (ACESYS1),199?,Ace
ac1dbldx,Double Deluxe (Pcp) (ACESYS1),199?,Pcp
ac1gogld,Go For Gold (Ace) (ACESYS1) (set 1),199?,Ace
ac1hideh,Hi De Hi Deluxe (Ace) (ACESYS1) (set 1),199?,Ace
ac1hideha,Hi De Hi Deluxe (Ace) (ACESYS1) (set 2),199?,Ace
ac1hotpf,Hot Profit (Ace) (ACESYS1),199?,Ace
ac1nudbk,Nudge Break (Pcp) (ACESYS1) (set 1),199?,Pcp
ac1nudbka,Nudge Break (Pcp) (ACESYS1) (set 2),199?,Pcp
ac1nudbkb,Nudge Break (Pcp) (ACESYS1) (set 3),199?,Pcp
ac1nudbkc,Nudge Break (Pcp) (ACESYS1) (set 4),199?,Pcp
ac1nudbkd,Nudge Break (Pcp) (ACESYS1) (set 5),199?,Pcp
ac1piaca,Play It Again Casino (Ace) (ACESYS1),199?,Ace
ac1piacl,Play It Again Club (Ace) (ACESYS1) (set 1),199?,Ace
ac1piacla,Play It Again Club (Ace) (ACESYS1) (set 2),199?,Ace
ac1piaclb,Play It Again Club (Ace) (ACESYS1) (set 3),199?,Ace
ac1piaclc,Play It Again Club (Ace) (ACESYS1) (set 4),199?,Ace
ac1primt,Primetime (Ace) (ACESYS1) (set 1),199?,Ace
ac1prmcl,Premier Club (Ace) (ACESYS1) (set 1),199?,Ace
ac1prmcla,Premier Club (Ace) (ACESYS1) (set 2),199?,Ace
ac1prmclb,Premier Club (Ace) (ACESYS1) (set 3),199?,Ace
ac1prmclc,Premier Club (Ace) (ACESYS1) (set 4),199?,Ace
ac1pster,Pound Sterling (Ace) (ACESYS1),199?,Ace
ac1pstrt,Pound Stretcher (Pcp) (ACESYS1),199?,Pcp
ac1roll,Roll Up (Pcp) (ACESYS1) (set 1),199?,Pcp
ac1rolla,Roll Up (Pcp) (ACESYS1) (set 2),199?,Pcp
ac1rollb,Roll Up (Pcp) (ACESYS1) (set 3),199?,Pcp
ac1rundx,Runner Deluxe Club (Ace) (ACESYS1) (set 1),199?,Ace
ac1rundxa,Runner Deluxe Club (Ace) (ACESYS1) (set 2),199?,Ace
ac1scch,Amateurcomputer AC1 SCCH,1984,Frank Heyder
ac1shid,Super Hi De Hi (Ace) (ACESYS1) (set 1),199?,Ace
ac1shida,Super Hi De Hi (Ace) (ACESYS1) (set 2),199?,Ace
ac1sstrk,Starstruck (Pcp) (ACESYS1) (set 1),199?,Pcp
ac1sstrka,Starstruck (Pcp) (ACESYS1) (set 2),199?,Pcp
ac1sstrkb,Starstruck (Pcp) (ACESYS1) (set 3),199?,Pcp
ac1taklv,Take It Or Leave It (Ace) (ACESYS1) (set 1),199?,Ace
ac1totb,Top Of The Bill (Ace) (ACESYS1),199?,Ace
ac1xpres,Xpress (Pcp) (ACESYS1),199?,Pcp
ac97,AC97 audio,,
academy,Mephisto Academy Schachcomputer,1989,Hegener & Glaser
acb4070,ACB4070,,
ace,Ace,1976,Allied Leisure
ace100,Franklin Ace 100,1982,Franklin Computer
aceattac,Ace Attacker (FD1094 317-0059),1988,Sega
aceattaca,"Ace Attacker (Japan, System 16A, FD1094 317-0060)",1988,Sega
acedrvrw,Ace Driver: Racing Evolution (Rev. AD2),1994,Namco
acefruit,Silhouette,1982?,ACE
acheart,Arcana Heart,2005,Examu
acheartf,Arcana Heart Full,2006,Examu
acia6850,6850 ACIA,,
acitya,Atlantic City Action,1983,Epos Corporation
aclown,Clown (Russia) (Atronic),2002,Atronic
acombat,"Astro Combat (newer, CB)",1979,bootleg
acombat3,Astro Combat (unencrypted),1979,bootleg (Proel)
acombato,"Astro Combat (older, PZ)",1979,bootleg
acommand,Alien Command,1994,Jaleco
acpsx,Acclaim PSX,1995,Acclaim
acrnsys1,Acorn System 1,1978,Acorn
acrobatm,Acrobat Mission,1991,UPL (Taito license)
act2000,Action 2000 (Version 3.5E Dual),1999,Amcoe
act2000b1,"Action 2000 (Version 3.5R, set 2)",1999,Amcoe
act2000bx,"Action 2000 (Version 3.30XT, set 2)",1999,Amcoe
